Index,Prime,Time,OriginalTime
1,2,0,354
2,3,0,354
3,5,0,354
4,7,0,354
5,11,0,354
6,13,0,354
7,17,0,354
8,19,0,354
9,23,0,354
10,29,0,354
11,31,0,354
12,37,0,354
13,41,0,354
14,43,0,354
15,47,0,354
16,53,0,354
17,59,0,354
18,61,0,354
19,67,0,354
20,71,0,354
21,73,0,354
22,79,0,354
23,83,0,354
24,89,0,354
25,97,0,354
26,101,0,354
27,103,0,354
28,107,0,354
29,109,0,354
30,113,0,354
31,127,0,354
32,131,0,354
33,137,0,354
34,139,0,354
35,149,0,354
36,151,0,354
37,157,0,354
38,163,0,354
39,167,0,354
40,173,0,354
41,179,0,354
42,181,0,354
43,191,0,354
44,193,0,354
45,197,0,354
46,199,0,354
47,211,0,354
48,223,0,354
49,227,0,354
50,229,0,354
51,233,0,354
52,239,0,354
53,241,0,354
54,251,0,354
55,257,0,354
56,263,0,354
57,269,0,354
58,271,0,354
59,277,0,354
60,281,0,354
61,283,0,354
62,293,0,354
63,307,0,354
64,311,0,354
65,313,0,354
66,317,0,354
67,331,0,354
68,337,0,354
69,347,0,354
70,349,0,354
71,353,0,354
72,359,0,354
73,367,0,354
74,373,0,354
75,379,0,354
76,383,0,354
77,389,0,354
78,397,0,354
79,401,0,354
80,409,0,354
81,419,0,354
82,421,0,354
83,431,0,354
84,433,0,354
85,439,0,354
86,443,0,354
87,449,0,354
88,457,0,354
89,461,0,354
90,463,0,354
91,467,0,354
92,479,0,354
93,487,0,354
94,491,0,354
95,499,0,354
96,503,0,354
97,509,0,354
98,521,0,354
99,523,0,354
100,541,0,354
101,547,0,354
102,557,0,354
103,563,0,354
104,569,0,354
105,571,0,354
106,577,0,354
107,587,0,354
108,593,0,354
109,599,0,354
110,601,0,354
111,607,0,354
112,613,0,354
113,617,0,354
114,619,0,354
115,631,0,354
116,641,0,354
117,643,0,354
118,647,0,354
119,653,0,354
120,659,0,354
121,661,0,354
122,673,0,354
123,677,0,354
124,683,0,354
125,691,0,354
126,701,0,354
127,709,0,354
128,719,0,354
129,727,0,354
130,733,0,354
131,739,0,354
132,743,0,354
133,751,0,354
134,757,0,354
135,761,0,354
136,769,0,354
137,773,0,354
138,787,0,354
139,797,0,354
140,809,0,354
141,811,0,354
142,821,0,354
143,823,0,354
144,827,0,354
145,829,0,354
146,839,0,354
147,853,0,354
148,857,0,354
149,859,0,354
150,863,0,354
151,877,0,354
152,881,0,354
153,883,0,354
154,887,0,354
155,907,0,354
156,911,0,354
157,919,0,354
158,929,0,354
159,937,0,354
160,941,0,354
161,947,0,354
162,953,0,354
163,967,0,354
164,971,0,354
165,977,0,354
166,983,0,354
167,991,0,354
168,997,0,354
169,1009,0,354
170,1013,0,354
171,1019,0,354
172,1021,0,354
173,1031,0,354
174,1033,0,354
175,1039,0,354
176,1049,0,354
177,1051,0,354
178,1061,0,354
179,1063,0,354
180,1069,0,354
181,1087,0,354
182,1091,0,354
183,1093,0,354
184,1097,0,354
185,1103,0,354
